"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
392,"Boone County","IL","Rockford","17","007",914,1303.45,1307.39,1317.56,1325.54,1325.48,1339.25,1360.62,1374.98,1375.69,1384.16,1395.66,1399.4,1397.49,1387.33,1373.26,1351.67,1328.76,1315.01,1310.24,1307.7,1315.75,1307.07,1326.77,1335.37,1346.35,1333.9,1347.04,1366.02,1372.44,1358.43,1326.91,1323.8,1312.49,1292.49,1257.07,1219.08,1169.67,1106.73,1062.38,1045.03,1041.08,1039.1,1025.21,1005.09,986.64,945.97,910.13,946.57,965.15,976.49,991.86,998.97,1008.91,1023.31,1030.65,1038.64,1060.37,1062.54,1095.17,1086.91,1077.19,1046.76,1035.17,1022.47,1014.8,1011.69,1017.26,1034.41,1035.91,1046.39,1057.78,1071.63,1095.44,1098.54,1084.58,1064.95,1054.63,1055.76,1067.61,1078.87,1097.67,1119.49,1149.54,1164.74,1177.37,1179.15,1172.31,1168.61,1160.09,1157.05,1178,1194.96,1198.04,1189.87,1172.48,1161.53,1157.2,1172.7,1182.79,1184.82,1180.53,1158.95,1147.32,1147.92,1155.08,1161.32,1174.45,1193.87,1203.34,1199.44
561,"Henry County","VA","Martinsville","51","089",915,808.75,835.21,843.97,842.63,874.49,872.59,868.13,894.71,899.52,913.83,921.24,922.01,916.28,912.66,903.78,897.09,897.9,902.52,912.39,915.56,930.76,945.85,961.09,968.24,972.04,982.78,993.37,992.95,982.66,977.2,979.2,981.44,984.73,979.29,968.64,947.56,933.61,931.23,925.46,909.57,893.17,885.05,859.37,843.85,835.24,839.31,864.44,898.59,919.96,942.64,932.48,930.53,928.35,940.53,955.47,982.56,970.32,983.39,978.89,969.96,967.34,958.75,956.65,930.95,898.04,904.94,925.99,928.79,925.49,932.97,978.24,988.32,981.59,965.39,937.01,930.65,918.25,944.59,932.31,947.18,957.9,963.93,980.65,993.61,966.27,968.65,957.95,940.65,898.09,901.58,898.94,876.49,887.15,904.62,903.25,897.91,902.8,870.92,869.86,863.53,881.24,871.61,860.22,852.41,860.16,868.33,869.2,873.16,874.96,880.61
1615,"Chisago County","MN","Minneapolis-St. Paul-Bloomington","27","025",916,1184.28,1186.97,1192,1196.62,1200.36,1198.95,1200.53,1202.37,1216.27,1226.63,1235.33,1233.39,1228.5,1217.56,1207.86,1202.05,1199.79,1195.97,1193.03,1196.5,1201.15,1207.97,1220.7,1229.09,1235.25,1240.15,1230.13,1208.59,1212.59,1214.38,1219.04,1226.65,1231.9,1237.5,1254.36,1269.21,1284.07,1287.42,1278.81,1274.49,1271.18,,1270.32,1274.96,1278.54,1288.13,1295.36,1298.54,1296.44,1295.88,1290.5,1285.54,1280.76,1273.77,1273.42,1278.56,1286.47,1293.5,1305.06,1308.3,1317.01,1318.26,1317.94,1316.86,1318.72,1318.85,1324.9,1330.33,1336.92,1343.13,1354.09,1355.79,1352.86,1356.31,1353.94,1347.99,1337.2,1331.93,1322.02,1324.52,1323.29,1330.75,1344.89,1351.45,1355.69,1359.19,1352.63,1354.27,1353.82,1363.07,1373.57,1385.41,1393.41,1398.33,1397.99,1404.26,1418.2,1422.68,1424.34,1419.57,1444.33,1452.58,1449.6,1439.27,1410.01,1380.9,1358.35,1339.89,1337.79,1374
155,"Eddy County","NM","Carlsbad-Artesia","35","015",917,,,,,906.53,884.24,848.42,821.36,853.52,917.05,964.52,1023.74,1070.32,1104.28,1114.88,1109.21,1090.54,1070.12,1052.56,1036.08,1023.02,1002.2,992.48,993.36,997.09,1003.38,1006.53,1008.97,1002.14,997.14,992.26,995.95,997.28,1013.34,1029.71,1039.6,1020.91,1006.1,1000.51,990.71,975.95,,955.07,950.93,946.28,947.95,941.12,953.77,965.25,981.45,982.48,973.27,964.05,962.31,957.96,952.34,952.96,949.56,958.49,965.7,974.69,975.03,973.56,976.25,988.33,997.1,1035.66,1075.8,1112.54,1154.69,1180.94,1201.29,1216.83,1210.1,1187.63,1162.53,1148.13,1130.48,1122.49,1129.22,1142.12,1154.31,1161.23,1163.95,1154.66,1158.34,1170.5,1206.72,1234.25,1263.13,1292.72,1328.86,1357.78,1408.79,1454.09,1487.41,1510.75,1533.5,1563.45,1577.29,,1382.27,1393.62,1439.15,1523.04,1600.36,1683.55,1712.51,1756.5,1744.29
164,"Gila County","AZ","Payson","04","007",918,1143.95,1185.66,1196.95,1219.52,1219.93,1220.07,1207.82,1192.61,1179.28,1170.99,1163.25,1153.35,1138.82,1123.78,1123.4,1119.4,1115.58,1115.09,1112.89,1112.37,1114.17,1119.83,1121.36,1132.35,1132.16,1125.26,1127.79,1103.28,1075.57,1050.86,1030.3,1014.53,1020.02,1035.87,1028.71,1012.21,1020.22,1042.93,1058.06,1054.53,1065.8,,1083.49,1095.59,1104.48,1100.89,1108.85,1121.01,1127.16,1133.51,1137.49,1142.87,1148.39,1154.75,1153.5,1163.11,1171.39,1171.34,1172.89,1172.16,1175.67,1174.91,1167.08,1160.74,1157.63,1164.28,1173.37,1185.78,1192.62,1201.18,1213.24,1212.78,1208.58,1218.84,1220.15,1228.53,1230.89,1229.16,1221.4,1224.57,1228.24,1237.76,1245.85,1247.78,1246.38,1246.72,1240.72,1234.78,1235.7,1237.56,1244.05,1244.99,1246.31,1261.62,1238.78,1210.63,1182.62,1199.65,1233.99,1256.76,1273.18,1271.37,1267.64,1256.05,1221.02,1195.75,1177.84,1169.98,1170.83,1209.34
2757,"Jefferson County","WV","Washington-Arlington-Alexandria","54","037",919,1308.79,,,,,1049.96,1087.46,1111.63,1138.49,1147.38,1163.48,1180.02,1193.28,1194.27,1194.32,1194.21,1186.25,1191.04,1192.89,1189.56,1189.49,1186.21,1182.46,1178.04,1177.87,1179.48,1175.23,1172.99,1183,1191.68,1197.35,1199.87,1197.59,1196.11,1197.89,1217.27,1231.31,1237.74,1235.6,1233.04,1233.68,,1228.11,1226.41,1227.01,1231.75,1241.85,1245.57,1254.84,1262.04,1272.06,1282.38,1286.79,1289.46,1290.31,1292.76,1295.39,1299.42,1304.06,1310.19,1325.21,1349.96,1360.75,1360.64,1345.54,1333.08,1323.75,1323.16,1325.96,1329.69,1326.51,1330.42,1334.03,1334.67,1342.98,1345.44,1337.34,1332.93,1326,1328.05,1336.58,1347.88,1356.14,1360.02,1362.6,1363.19,1363.31,1364.51,1367.84,1367.03,1369.6,1365.73,1363.1,1362.67,1361.61,1367.55,1370.37,1377.66,1380.26,1371.48,1339.6,1322.97,1316.48,1322.41,1331.71,1339.3,1349.7,1357.94,1363.77,1366.6
259,"Ogle County","IL","Rochelle","17","141",920,1168.54,1227.96,1237.44,1246.11,1236.27,1244.42,1253.56,1263.64,1262.61,1273.87,1277.43,1275.48,1270.76,1273.72,1260.7,1254.81,1237.25,1213.19,1205.98,1208.12,1208.31,1198.28,1204.06,1217.55,1234.42,1244.91,1252.24,1245.65,1244.43,1226.94,1217.77,1226.86,1226.43,1210.78,1207.21,1208.78,1219.3,1230.05,1257.38,1244.41,1234.39,1229.4,1201.13,1206.82,1217.51,1218.22,1222.15,1233.48,1260.11,1266.6,1259.03,1247.73,1239.64,1201.44,1193.31,1193.05,1202.07,1207.38,1219.49,1224.09,1224.59,1233.4,1236.38,1214.89,1208.17,1206.68,1203.96,1222.24,1228.28,1225.87,1235.73,1239.1,1244.92,1247.49,1237.5,1225.23,1216.58,1204.62,1193.15,1190.49,1195.76,1186.28,1189.39,1198.28,1188.18,1178.56,1102.7,1092.16,1028.27,1035.87,1070.91,1115.37,1155.51,1191.53,1201.25,1207.54,1213.17,1217.53,1218.19,1215.97,1217.39,1173.46,1155.99,1117.14,1122.81,1151.16,1178.07,1199.51,1216.39,1285.56
312,"Rusk County","TX","Longview","48","401",921,1066.59,1111.01,1130.05,1135.57,1132.87,1122.44,1120.91,1121.86,1130.42,1137.53,1145.94,1137.15,1129.92,1128.81,1119.99,1114.6,1105.12,1103.62,1094.24,1087.86,1085.54,1086.83,1100.97,1107.93,1113.51,1104.03,1099.5,1095.49,1089.36,1083.86,1093.06,1099.11,1103.5,1110.23,1124.12,1133.71,1141.61,1155.98,1169.72,1180.35,1173.77,,1162.48,1158.93,1171.43,1180.57,1188.38,1197.67,1213.79,1228.97,1232.04,1244.68,1255.3,1255.37,1258.19,1275.69,1282.53,1301.12,1311.02,1313.7,1310.55,1314.29,1314.4,1299.45,1280.51,1272.94,1263.3,1253.45,1256.86,1272.48,1293.95,1296.15,1295.58,1292.19,,1253.66,1233.75,1228.12,1241.66,1251.51,1267.32,1280.24,1283.29,1291.89,1281.67,1271.31,1266.72,1264.08,1262.71,1249.4,1259.08,1252.62,1251.4,1244.91,1228.71,1217.28,1208.7,1218.24,1232.57,1241.33,1237.93,1233.55,1227.77,1226.66,1227.96,1233.48,1242.13,1248.95,1250.44,1243.08
1791,"Jackson County","AL","Scottsboro","01","071",922,911.59,922.66,929.29,935.26,920.98,919.1,921.55,922.42,917.91,909.28,916.83,923.94,917.61,904.48,895.95,880.83,880.07,889.51,912.37,904.28,887.44,872.44,867.41,863.25,868.37,862.79,853.36,839.44,828.06,821.66,813.59,816.81,821.88,826.54,848.36,857.41,867.1,864.23,857.83,851.39,857.89,,855.79,848.43,836.15,823.05,820.2,835.67,855.96,870.55,876.29,885.92,896.44,906.79,909.82,909.81,915.29,922.9,921.75,920.78,925.18,925.5,923.13,916.08,911.67,911.73,908.03,910.96,916.12,921.08,922.47,920.62,923.84,924.9,918.44,909.15,907.21,905.77,896.24,896.85,906.74,916.2,921.92,923.39,915.52,915.36,913.8,913.83,911.66,911.09,906.39,902.46,903.23,911.64,919.96,922.33,925.22,920.62,917.65,917.25,910,911.68,914.48,911.07,902.58,897.6,902.17,904.77,905.89,910.23
1519,"Ashland County","OH","Ashland","39","005",923,763.47,797.62,808.77,808.89,805.92,802.24,805.06,809.68,814.25,829.2,839.37,844.6,845.5,842.42,836.25,828.15,829,823.31,821.64,817.59,812.57,812.23,813.51,812.07,813.29,817.84,819.85,817.43,812.61,807.27,806.05,808.51,809.88,813.92,817.55,822.55,831.04,831.5,831.36,829.11,768.32,,703.7,673.84,655.74,648.22,619.04,592.86,572.1,570.47,582.72,600.29,621.64,640.26,651.35,652.87,655.09,660.83,664.42,668.97,669.4,660.59,644.67,644.07,698.38,757.94,811.27,794.39,765.97,742.31,727.6,717.89,707.29,745.18,735.61,716.86,699.8,685.55,668.33,655.27,700.06,703.86,701.42,698.46,736.93,778.26,759.94,728.36,704.25,688.61,681.43,679.98,680.68,693.73,700.17,696.52,687.03,681.07,680.87,686.29,720.74,724.56,714.3,703.98,692.36,680.3,674.41,668.7,668.53,685.85
